# key:
# co = coast
# de = desert
# fo = forest
# gr = grassland
# fw = freshwater
# sm = swamp, marsh
# mo = mountain
# oc = ocean
# ur = urban
#
# SW = Southwest 
# SE = Southeast
# NW = Northeast
# SW = Southwest
# NA = Not Available
#
# Name       Alpha code     Habitats     Regions
Ocellated Turkey  OCTU  no  NA
Red-throated Loon  RTLO  co fw  NW NE SW SE
Arctic Loon  ARLO  co fw oc  NA
Pacific Loon  PALO  co fw  NW SW
Common Loon  COLO  co fo fw  NW NE SW SE
Yellow-billed Loon  YBLO  co gr  NW
Least Grebe  LEGR  fw sm  SW
Pied-billed Grebe  PBGR  fw sm  NW NE SW SE
Atitlan Grebe  ATGR  no  NA
Horned Grebe  HOGR  gr fw sm  NW NE SW SE
Red-necked Grebe  RNGR  co fw  NW NE
Eared Grebe  EAGR  co fw oc  NW NE SW SE
Western Grebe  WEGR  co fw  NW SW
Clark's Grebe  CLGR  co fw  NW SW
American Flamingo  AMFL  co  SE
Yellow-nosed Albatross  YNAL  co oc  NA
White-capped Albatross  WCAL  no  NA
Salvin's Albatross  SAAL  no  NA
Black-browed Albatross  BBAL  oc  NA
Light-mantled Albatross  LMAL  no  NA
Wandering Albatross  WAAL  no  NA
Laysan Albatross  LAAL  oc  NW SW
Black-footed Albatross  BFAL  oc  NW SW
Waved Albatross  WAVA  no  NA
Short-tailed Albatross  STAL  oc  NW
Northern Fulmar  NOFU  co oc  NW NE SW
Great-winged Petrel  GWPE  co oc  NA
Providence Petrel  PRPE  fo mo oc  NA
Kermadec Petrel  KEPE  no  NA
Trindade Petrel  TRPE  no  NA
Herald Petrel  HEPE  co oc  NA
Murphy's Petrel  MUPE  co oc  NW SW
Mottled Petrel  MOPE  co oc  NW
Bermuda Petrel  BEPE  co oc  NA
Black-capped Petrel  BCPE  co oc  NE SE
Juan Fernandez Petrel  JFPE  oc  NA
Galapagos Petrel  GAPE  no  NA
Hawaiian Petrel  HAPE  co oc  NA
White-necked Petrel  WNPE  no  NA
Bonin Petrel  BOPE  oc  NA
Black-winged Petrel  BWPE  oc  NA
Fea's Petrel  FEPE  co oc  NA
Zino's Petrel  ZIPE  no  NA
Cook's Petrel  COPE  co oc  SW
Stejneger's Petrel  STPE  co oc  NA
Tahiti Petrel  TAPE  no  NA
Bulwer's Petrel  BUPE  co oc  NA
Jouanin's Petrel  JOPE  no  NA
White-chinned Petrel  WCPE  oc  NA
Parkinson's Petrel  PAPE  oc  NA
Streaked Shearwater  STRS  co oc  NA
Cory's Shearwater  COSH  oc  NE SE
Cape Verde Shearwater  CVSH  oc  NA
Pink-footed Shearwater  PFSH  co oc  NW SW
Flesh-footed Shearwater  FFSH  co oc  NW SW
Great Shearwater  GRSH  co oc  NE SE
Wedge-tailed Shearwater  WTSH  co fo gr oc  NA
Buller's Shearwater  BULS  co oc  NW SW
Sooty Shearwater  SOSH  co oc  NW NE SW SE
Short-tailed Shearwater  SRTS  co oc  NW SW
Christmas Shearwater  CHSH  oc  NA
Galapagos Shearwater  GASH  no  NA
Manx Shearwater  MASH  co oc  NE
Townsend's Shearwater  TOSH  no  NA
Newell's Shearwater  NESH  oc  NA
Bryan's Shearwater  BRYS  no  NA
Black-vented Shearwater  BVSH  co oc  SW
Audubon's Shearwater  AUSH  co oc  NE SE
Barolo Shearwater  BASH  oc  NA
Wilson's Storm-Petrel  WISP  co oc  NE SE
White-faced Storm-Petrel  WFSP  oc  NA
European Storm-Petrel  EUSP  no  NA
Black-bellied Storm-Petrel  BBSP  no  NA
Fork-tailed Storm-Petrel  FTSP  co oc  NW SW
Ringed Storm-Petrel  RISP  no  NA
Swinhoe's Storm-Petrel  SSTP  no  NA
Leach's Storm-Petrel  LESP  co oc  NW NE SW SE
Ashy Storm-Petrel  ASSP  co oc  SW
Band-rumped Storm-Petrel  BSTP  oc  NE SE
Wedge-rumped Storm-Petrel  WRSP  co oc  NA
Black Storm-Petrel  BLSP  co oc  SW
Guadalupe Storm-Petrel  GUSP  no  NA
Markham's Storm-Petrel  MASP  no  NA
Tristram's Storm-Petrel  TRSP  no  NA
Least Storm-Petrel  LSTP  co oc  SW
White-tailed Tropicbird  WTTR  co fo oc  SE
Red-billed Tropicbird  RBTR  oc  SW SE
Red-tailed Tropicbird  RTTR  oc  NA
Maguari Stork  MAST  no  NA
Jabiru  JABI  fw  NA
Wood Stork  WOST  sm  SE
Magnificent Frigatebird  MAFR  co  SW SE
Great Frigatebird  GREF  oc  NA
Lesser Frigatebird  LEFR  oc  NA
Masked Booby  MABO  co oc  SE
Nazca Booby  NABO  no  NA
Blue-footed Booby  BFBO  co oc  SW
Peruvian Booby  PEBO  no  NA
Brown Booby  BRBO  co oc  SW SE
Red-footed Booby  RFBO  co fo oc  NA
Northern Gannet  NOGA  co oc  NE SE
Brandt's Cormorant  BRAC  co  NW SW
Neotropic Cormorant  NECO  fw  SW SE
Double-crested Cormorant  DCCO  co fw  NW NE SW SE
Great Cormorant  GRCO  co oc  NE
Red-faced Cormorant  RFCO  co  NA
Pelagic Cormorant  PECO  co mo  NW SW
Anhinga  ANHI  co fo fw sm  SE
American White Pelican  AWPE  co fw  NW NE SW SE
Brown Pelican  BRPE  co  SW SE
Pinnated Bittern  PIBI  no  NA
American Bittern  AMBI  co fw  NW NE SW SE
Yellow Bittern  YEBI  fo fw sm  NA
Least Bittern  LEBI  co sm  NE SW SE
Little Bittern  LIBI  no  NA
Rufescent Tiger-Heron  RTHE  no  NA
Fasciated Tiger-Heron  FTHE  no  NA
Bare-throated Tiger-Heron  BTTH  no  NA
Great Blue Heron  GBHE  fw sm  NW NE SW SE
Gray Heron  GRAH  co gr fw sm  NA
Cocoi Heron  COHE  no  NA
Purple Heron  PUHE  co fw sm  NA
Great Egret  GREG  co fw sm  NW NE SW SE
Intermediate Egret  INEG  co gr fw sm  NA
Whistling Heron  WHHE  no  NA
Chinese Egret  CHEG  co  NA
Little Egret  LIEG  co fw  NA
Western Reef-Heron  WERH  co  NA
Snowy Egret  SNEG  fw sm  NW NE SW SE
Little Blue Heron  LBHE  co gr fw sm  SE
Tricolored Heron  TRHE  gr fw sm  SE
Reddish Egret  REEG  fw  SW SE
Cattle Egret  CAEG  gr fw sm ur  NW NE SW SE
Chinese Pond-Heron  CHPH  gr fw sm  NA
Green Heron  GRHE  fw  NE SW SE
Striated Heron  STRH  co fw sm  NA
Agami Heron  AGHE  no  NA
Capped Heron  CAHE  no  NA
Black-crowned Night-Heron  BCNH  fw sm  NW NE SW SE
Yellow-crowned Night-Heron  YCNH  fo sm  SE
Boat-billed Heron  BBHE  no  NA
White Ibis  WHIB  sm  SE
Scarlet Ibis  SCIB  sm  NA
Glossy Ibis  GLIB  fw sm  NE SE
White-faced Ibis  WFIB  sm  NW SW
Green Ibis  GRIB  no  NA
Buff-necked Ibis  BNIB  no  NA
Eurasian Spoonbill  EURS  no  NA
Roseate Spoonbill  ROSP  co  SE
Black Vulture  BLVU  fo gr  NE SE
Turkey Vulture  TUVU  fo  NW NE SW SE
Lesser Yellow-headed Vulture  LYHV  no  NA
California Condor  CACO  fo mo  SW
King Vulture  KIVU  no  NA
Osprey  OSPR  co fw  NW NE SW SE
Gray-headed Kite  GHKI  no  NA
Hook-billed Kite  HBKI  fo  NA
Swallow-tailed Kite  STKI  fo fw sm  SE
Pearl Kite  PEKI  no  NA
White-tailed Kite  WTKI  gr  SW
Snail Kite  SNKI  fo fw sm  SE
Slender-billed Kite  SBKI  no  NA
Double-toothed Kite  DTKI  no  NA
Mississippi Kite  MIKI  fo gr  SW SE
Plumbeous Kite  PLKI  no  NA
Black Kite  BLAK  fo gr fw  NA
Bald Eagle  BAEA  co fw  NW NE SW SE
White-tailed Eagle  WTEA  co fw oc  NA
Steller's Sea-Eagle  STSE  co fo  NA
Black-collared Hawk  BCHA  no  NA
Northern Harrier  NOHA  gr sm  NW NE SW SE
Long-winged Harrier  LWHA  no  NA
Western Marsh Harrier  WMHA  no  NA
Gray-bellied Hawk  GBEH  no  NA
Chinese Sparrowhawk  CHIS  fo  NA
Tiny Hawk  TIHA  no  NA
Sharp-shinned Hawk  SSHA  fo  NW NE SW SE
Cooper's Hawk  COHA  fo  NW NE SW SE
Gundlach's Hawk  GUHA  no  NA
Bicolored Hawk  BIHA  no  NA
Northern Goshawk  NOGO  fo  NW NE SW
Crane Hawk  CRHA  no  NA
Plumbeous Hawk  PLHA  no  NA
Common Black Hawk  COBH  no  SW
Cuban Black Hawk  CUBH  no  NA
Savanna Hawk  SAHA  no  NA
Great Black Hawk  GBLH  no  NA
Solitary Eagle  SOEA  no  NA
Barred Hawk  BAHA  no  NA
Roadside Hawk  ROHA  fo gr  NA
Harris's Hawk  HASH  de fo gr mo  SW
White-tailed Hawk  WTHA  fo  SW
White Hawk  WHHA  no  NA
Semiplumbeous Hawk  SEHA  no  NA
Gray Hawk  GRHA  fo  SW
Gray-lined Hawk  GLHA  no  NA
Red-shouldered Hawk  RSHA  fo  NE SW SE
Ridgway's Hawk  RIHA  no  NA
Broad-winged Hawk  BWHA  fo  NW NE SW SE
Hawaiian Hawk  HAWH  fo gr  NA
Short-tailed Hawk  STHA  fo gr  SE
Swainson's Hawk  SWHA  gr  NW SW
Zone-tailed Hawk  ZTHA  de fo mo  SW
Red-tailed Hawk  RTHA  fo gr mo  NW NE SW SE
Rough-legged Hawk  RLHA  gr sm  NW NE SW
Ferruginous Hawk  FEHA  de gr  NW SW
Crested Eagle  CREA  no  NA
Harpy Eagle  HAEA  no  NA
Golden Eagle  GOEA  gr mo  NW NE SW SE
Black Hawk-Eagle  BLHE  no  NA
Ornate Hawk-Eagle  ORHE  no  NA
Black-and-white Hawk-Eagle  BAWH  no  NA
Sunbittern  SUNB  no  NA
Yellow Rail  YERA  gr sm  NE SE
Ocellated Crake  OCCR  no  NA
Ruddy Crake  RUCR  no  NA
White-throated Crake  WTCR  no  NA
Gray-breasted Crake  GBCR  no  NA
Black Rail  BLRA  gr sm  SE
Corn Crake  CORC  gr sm  NA
Ridgway's Rail  RIRA  no  NA
Clapper Rail  CLRA  co sm  NE SE
Aztec Rail  AZRA  no  NA
King Rail  KIRA  sm  NE SE
Virginia Rail  VIRA  gr sm  NW NE SW SE
Rufous-necked Wood-Rail  RUWR  no  NA
Gray-necked Wood-Rail  GNWR  no  NA
Uniform Crake  UNIC  no  NA
Laysan Rail  LARA  no  NA
Spotted Crake  SPCR  no  NA
Sora  SORA  sm  NW NE SW SE
Hawaiian Rail  HARA  no  NA
Yellow-breasted Crake  YBCR  no  NA
Colombian Crake  COLC  no  NA
Paint-billed Crake  PBCR  no  NA
Zapata Rail  ZARA  no  NA
Spotted Rail  SPRA  no  NA
Purple Gallinule  PUGA  fw sm  SE
Azure Gallinule  AZGA  no  NA
Common Gallinule  COGA  gr fw sm  NE SW SE
Common Moorhen  COMO  no  NE SW SE
Eurasian Coot  EUCO  co gr fw sm  NA
Hawaiian Coot  HACO  sm  NA
American Coot  AMCO  co fw sm  NW NE SW SE
Caribbean Coot  CARC  no  NA
Sungrebe  SUNG  no  NA
Limpkin  LIMP  fo sm  SE
Sandhill Crane  SACR  gr sm  NW NE SW SE
Common Crane  CCRA  fo gr fw sm  NA
Whooping Crane  WHCR  gr fw sm  NW NE SE
Double-striped Thick-knee  DSTK  no  NA
Black-winged Stilt  BWST  co fw sm  NA
Black-necked Stilt  BNST  co sm  NW SW SE
American Avocet  AMAV  co fw sm  NW NE SW SE
Eurasian Oystercatcher  EUOY  no  NA
American Oystercatcher  AMOY  co  NE SE
Black Oystercatcher  BLOY  co  NW SW
Northern Lapwing  NOLA  co gr sm  NE
Southern Lapwing  SOLA  no  NA
Black-bellied Plover  BBPL  co gr fw sm  NW NE SW SE
European Golden-Plover  EUGP  co gr  NA
American Golden-Plover  AMGP  co gr  NW NE SW SE
Pacific Golden-Plover  PAGP  co gr  NW SW
Lesser Sand-Plover  LSAP  co gr mo  NA
Greater Sand-Plover  GSAP  co de sm  NA
Collared Plover  COPL  no  NA
Snowy Plover  SNPL  co fw  SW SE
Wilson's Plover  WIPL  co  SE
Common Ringed Plover  CRPL  co gr sm  NA
Semipalmated Plover  SEPL  fw sm  NW NE SW SE
Piping Plover  PIPL  co fw  NE SE
Little Ringed Plover  LRPL  co fw  NA
Killdeer  KILL  gr  NW NE SW SE
Mountain Plover  MOPL  gr  NW SW
Eurasian Dotterel  EUDO  mo  NA
Northern Jacana  NOJA  sm  NA
Wattled Jacana  WAJA  no  NA
Terek Sandpiper  TESA  co fo sm  NA
Common Sandpiper  COSA  co gr fw sm  NA
Spotted Sandpiper  SPSA  co fw  NW NE SW SE
Green Sandpiper  GRSA  co fo fw sm  NA
Solitary Sandpiper  SOSA  co fo fw  NW NE SW SE
Gray-tailed Tattler  GTTA  co mo  NA
Wandering Tattler  WATA  co  NW SW
Spotted Redshank  SPRE  gr fw sm  NA
Greater Yellowlegs  GRYE  co gr fw sm  NW NE SW SE
Common Greenshank  COMG  fo gr fw sm  NA
Willet  WILL  co  NW NE SW SE
Lesser Yellowlegs  LEYE  co gr fw  NW NE SW SE
Marsh Sandpiper  MASA  sm  NA
Wood Sandpiper  WOSA  co fo sm  NA
Common Redshank  CREH  co gr sm  NA
Upland Sandpiper  UPSA  gr  NW NE SE
Little Curlew  LICU  co gr fw  NA
Eskimo Curlew  ESCU  co gr  NA
Whimbrel  WHIM  co gr sm  NW NE SW SE
Bristle-thighed Curlew  BTCU  co gr  NA
Far Eastern Curlew  FECU  co gr sm  NA
Slender-billed Curlew  SBCU  no  NA
Eurasian Curlew  EUCU  co gr sm  NA
Long-billed Curlew  LBCU  co gr fw sm  NW SW
Black-tailed Godwit  BTGD  co gr fw sm  NA
Hudsonian Godwit  HUGO  co gr sm  NE SE
Bar-tailed Godwit  BTGO  co gr fw sm  NA
Marbled Godwit  MAGO  co gr sm  NW NE SW SE
Ruddy Turnstone  RUTU  co gr  NW NE SW SE
Black Turnstone  BLTU  co gr sm  NW SW
Great Knot  GRKN  co gr mo  NA
Red Knot  REKN  co gr  NW NE SW SE
Surfbird  SURF  co gr mo  NW SW
Ruff  RUFF  co gr fw  NW NE SW SE
Broad-billed Sandpiper  BBIS  co gr sm  NA
Sharp-tailed Sandpiper  SPTS  co gr fw  NW
Stilt Sandpiper  STSA  gr  NW NE SW SE
Curlew Sandpiper  CUSA  co gr fw sm  NW NE
Temminck's Stint  TEST  co sm  NA
Long-toed Stint  LTST  gr fw sm mo  NA
Spoon-billed Sandpiper  SBSA  co  NA
Red-necked Stint  RNST  co gr fw sm  NA
Sanderling  SAND  co gr fw  NW NE SW SE
Dunlin  DUNL  co gr fw sm  NW NE SW SE
Rock Sandpiper  ROSA  gr  NW
Purple Sandpiper  PUSA  co  NE
Baird's Sandpiper  BASA  co gr fw sm  NW NE SW SE
Little Stint  LIST  co gr sm  NA
Least Sandpiper  LESA  co sm  NW NE SW SE
White-rumped Sandpiper  WRSA  gr sm  NE SE
Buff-breasted Sandpiper  BBSA  gr  NE SE
Pectoral Sandpiper  PESA  co gr fw sm  NW NE SW SE
