# key:
# co = coast
# de = desert
# fo = forest
# gr = grassland
# fw = freshwater
# sm = swamp, marsh
# mo = mountain
# oc = ocean
# ur = urban
#
# SW = Southwest 
# SE = Southeast
# NW = Northeast
# SW = Southwest
# NA = Not Available
#
# Name       Alpha code     Habitats     Regions
Gray-fronted Quail-Dove  GFQD  no  NA
White-fronted Quail-Dove  WFRQ  no  NA
Key West Quail-Dove  KWQD  fo sm  NA
Bridled Quail-Dove  BRQD  no  NA
Olive-backed Quail-Dove  OBQD  no  NA
White-tipped Dove  WTDO  fo sm  SW
Caribbean Dove  CADO  no  NA
Gray-chested Dove  GCDO  no  NA
Gray-headed Dove  GHDO  no  NA
Grenada Dove  GRDO  no  NA
Tuxtla Quail-Dove  TUQD  no  NA
Buff-fronted Quail-Dove  BFQD  no  NA
Purplish-backed Quail-Dove  PBQD  no  NA
White-faced Quail-Dove  WFAQ  no  NA
Chiriqui Quail-Dove  CHQD  no  NA
Russet-crowned Quail-Dove  RCQD  no  NA
White-winged Dove  WWDO  fo gr ur  SW SE
Zenaida Dove  ZEND  co fo  NA
Eared Dove  EADO  no  NA
Mourning Dove  MODO  gr ur  NW NE SW SE
Socorro Dove  SODO  no  NA
Common Cuckoo  COCU  fo gr sm  NA
Oriental Cuckoo  ORCU  fo  NA
Little Cuckoo  LITC  no  NA
Squirrel Cuckoo  SQCU  no  NA
Dark-billed Cuckoo  DBCU  no  NA
Yellow-billed Cuckoo  YBCU  gr  NE SW SE
Pearly-breasted Cuckoo  PBCU  no  NA
Mangrove Cuckoo  MACU  fo  NA
Cocos Cuckoo  COCC  no  NA
Black-billed Cuckoo  BBCU  fo  NW NE SE
Chestnut-bellied Cuckoo  CBCU  no  NA
Bay-breasted Cuckoo  BBRC  no  NA
Jamaican Lizard-Cuckoo  JALC  no  NA
Puerto Rican Lizard-Cuckoo  PRLC  no  NA
Great Lizard-Cuckoo  GRLC  no  NA
Hispaniolan Lizard-Cuckoo  HILC  no  NA
Striped Cuckoo  STCU  no  NA
Pheasant Cuckoo  PHCU  no  NA
Lesser Ground-Cuckoo  LEGC  no  NA
Lesser Roadrunner  LERO  no  NA
Greater Roadrunner  GRRO  de gr  SW
Rufous-vented Ground-Cuckoo  RVGC  no  NA
Greater Ani  GRTA  no  NA
Smooth-billed Ani  SBAN  sm  SE
Groove-billed Ani  GBAN  fo sm  SE
Barn Owl  BANO  fo gr ur  NW NE SW SE
Ashy-faced Owl  AFOW  no  NA
Oriental Scops-Owl  ORSO  no  NA
Flammulated Owl  FLOW  fo mo  NW SW
Western Screech-Owl  WESO  fo gr  NW SW
Eastern Screech-Owl  EASO  fo gr fw sm ur  NE SE
Balsas Screech-Owl  BASO  no  NA
Pacific Screech-Owl  PASO  no  NA
Whiskered Screech-Owl  WHSO  fo  NA
Tropical Screech-Owl  TRSO  no  NA
Bearded Screech-Owl  BESO  no  NA
Vermiculated Screech-Owl  VESO  no  NA
Bare-shanked Screech-Owl  BSSO  no  NA
Puerto Rican Screech-Owl  PRSO  no  NA
Bare-legged Owl  BLOW  no  NA
Crested Owl  CROW  no  NA
Spectacled Owl  SPEO  no  NA
Great Horned Owl  GHOW  fo  NW NE SW SE
Snowy Owl  SNOW  gr fw sm  NW NE
Northern Hawk Owl  NHOW  fo  NW NE
Northern Pygmy-Owl  NOPO  fo gr  NW SW
Costa Rican Pygmy-Owl  CRPO  no  NA
Central American Pygmy-Owl  CAPO  no  NA
Tamaulipas Pygmy-Owl  TAPO  no  NA
Colima Pygmy-Owl  CPYO  no  NA
Ferruginous Pygmy-Owl  FEPO  de fo  NA
Cuban Pygmy-Owl  CUPO  no  NA
Elf Owl  ELOW  de fo mo  SW
Burrowing Owl  BUOW  fo gr  NW SW
Mottled Owl  MOOW  no  NA
Black-and-white Owl  BLWO  no  NA
Spotted Owl  SPOW  fo  NW SW
Barred Owl  BADO  fo fw  NW NE SE
Fulvous Owl  FUOW  no  NA
Great Gray Owl  GGOW  fo  NW NE
Long-eared Owl  LEOW  de fo gr  NW NE SW
Stygian Owl  STOW  no  NA
Short-eared Owl  SEOW  gr sm mo  NW NE SW SE
Striped Owl  STRO  no  NA
Jamaican Owl  JAOW  no  NA
Boreal Owl  BOOW  fo gr  NW NE
Northern Saw-whet Owl  NSWO  fo ur  NW NE SW
Unspotted Saw-whet Owl  USWO  no  NA
Northern Boobook  NOBB  no  NA
Short-tailed Nighthawk  SHTN  no  NA
Lesser Nighthawk  LENI  gr  SW
Common Nighthawk  CONI  gr ur  NW NE SW SE
Antillean Nighthawk  ANNI  gr  NA
Common Pauraque  COPA  fo sm  SW
Common Poorwill  COPO  fo mo  NW SW
Jamaican Pauraque  JAPA  no  NA
Least Pauraque  LEPA  no  NA
Eared Poorwill  EAPO  no  NA
Yucatan Poorwill  YUPO  no  NA
Ocellated Poorwill  OCPO  no  NA
Chuck-will's-widow  CWWI  fo gr  NE SE
Rufous Nightjar  RUNI  no  NA
Greater Antillean Nightjar  GANI  no  NA
Tawny-collared Nightjar  TCNI  no  NA
Yucatan Nightjar  YUNI  no  NA
Buff-collared Nightjar  BCNI  fo gr mo  NA
Eastern Whip-poor-will  EWPW  fo  NE SE
Dusky Nightjar  DUNI  no  NA
Mexican Whip-poor-will  MWPW  fo  SW
Puerto Rican Nightjar  PRNI  no  NA
White-tailed Nightjar  WTNI  no  NA
Spot-tailed Nightjar  SPTN  no  NA
Gray Nightjar  GRNI  no  NA
Great Potoo  GRPO  no  NA
Common Potoo  CPOT  no  NA
Northern Potoo  NORP  no  NA
Oilbird  OILB  no  NA
Black Swift  BLSW  co mo  NW SW
White-fronted Swift  WFSW  no  NA
White-chinned Swift  WCHS  no  NA
Spot-fronted Swift  SFSW  no  NA
Chestnut-collared Swift  CCSW  no  NA
White-collared Swift  WCSW  fo gr mo  NA
White-naped Swift  WNSW  no  NA
Chimney Swift  CHSW  fo gr ur  NE SE
Vaux's Swift  VASW  fo  NW SW
Chapman's Swift  CHAS  no  NA
Short-tailed Swift  STSW  no  NA
Sick's Swift  SISW  no  NA
Band-rumped Swift  BRSW  no  NA
Costa Rican Swift  CRSW  no  NA
Gray-rumped Swift  GRSW  no  NA
Lesser Antillean Swift  LASW  no  NA
White-throated Needletail  WTNE  co fo gr mo  NA
Mariana Swiftlet  MASW  fo  NA
Common Swift  COSW  ur  NA
Fork-tailed Swift  FTSW  co fo mo ur  NA
Alpine Swift  ALSW  no  NA
White-throated Swift  WTSW  mo  NW SW
Lesser Swallow-tailed Swift  LSTS  no  NA
Great Swallow-tailed Swift  GSTS  no  NA
Antillean Palm-Swift  ANPS  no  NA
White-necked Jacobin  WNJA  no  NA
White-tipped Sicklebill  WTSI  no  NA
Bronzy Hermit  BRHE  no  NA
Rufous-breasted Hermit  RBHE  no  NA
Band-tailed Barbthroat  BTBA  no  NA
Green Hermit  GREH  no  NA
Mexican Hermit  MEHE  no  NA
Long-billed Hermit  LBIH  no  NA
Pale-bellied Hermit  PBHE  no  NA
Stripe-throated Hermit  STHR  no  NA
Green-fronted Lancebill  GFRL  no  NA
Brown Violetear  BRVI  no  NA
Mexican Violetear  MEVI  fo mo  NA
Lesser Violetear  LEVI  no  NA
Tooth-billed Hummingbird  TBHU  no  NA
Purple-crowned Fairy  PCFA  no  NA
Ruby-topaz Hummingbird  RTOH  no  NA
Green-breasted Mango  GNBM  fo ur  NA
Black-throated Mango  BTMA  no  NA
Veraguan Mango  VEMA  no  NA
Antillean Mango  ANMA  no  NA
Green Mango  GMAG  no  NA
Jamaican Mango  JAMA  no  NA
Purple-throated Carib  PTCA  no  NA
Green-throated Carib  GTCA  no  NA
Green Thorntail  GRET  no  NA
Short-crested Coquette  SCCO  no  NA
Rufous-crested Coquette  RCRC  no  NA
Black-crested Coquette  BCCO  no  NA
White-crested Coquette  WCCO  no  NA
Greenish Puffleg  GRPU  no  NA
Green-crowned Brilliant  GCBR  no  NA
Magnificent Hummingbird  MAHU  de fo mo  SW
Fiery-throated Hummingbird  FTHU  no  NA
Long-billed Starthroat  LBST  no  NA
Plain-capped Starthroat  PCST  fo gr  NA
Green-throated Mountain-gem  GTMG  no  NA
Green-breasted Mountain-gem  GBMG  no  NA
Amethyst-throated Hummingbird  ATHU  no  NA
Blue-throated Hummingbird  BTHH  fo  SW
White-bellied Mountain-gem  WBMG  no  NA
Purple-throated Mountain-gem  PTMG  no  NA
White-throated Mountain-gem  WTMG  no  NA
Garnet-throated Hummingbird  GATH  no  NA
Bahama Woodstar  BAWO  fo ur  NA
Inagua Woodstar  INWO  no  NA
Magenta-throated Woodstar  MTWO  no  NA
Purple-throated Woodstar  PTWO  no  NA
Slender Sheartail  SLSH  no  NA
Mexican Sheartail  MESH  no  NA
Sparkling-tailed Hummingbird  SKTH  no  NA
Lucifer Hummingbird  LUHU  de sm  SW
Beautiful Hummingbird  BEAH  no  NA
Ruby-throated Hummingbird  RTHU  fo  NE SE
Black-chinned Hummingbird  BCHU  fo mo  NW SW
Vervain Hummingbird  VEHU  no  NA
Bee Hummingbird  BEEH  no  NA
Anna's Hummingbird  ANHU  fo  NW SW
Costa's Hummingbird  COHU  de  SW
Bumblebee Hummingbird  BUHU  fo mo  NA
Wine-throated Hummingbird  WTHH  no  NA
Broad-tailed Hummingbird  BTAH  fo mo  NW SW
Rufous Hummingbird  RUHU  fo  NW NE SW SE
Allen's Hummingbird  ALHU  co fo  SW
Volcano Hummingbird  VOHU  no  NA
Glow-throated Hummingbird  GLTH  no  NA
Scintillant Hummingbird  SCHU  no  NA
Calliope Hummingbird  CAHU  fo mo  NW SW
Golden-crowned Emerald  GCEM  no  NA
Cozumel Emerald  COEM  no  NA
Canivet's Emerald  CAEM  no  NA
Garden Emerald  GAEM  no  NA
Cuban Emerald  CUEM  no  NA
Brace's Emerald  BREM  no  NA
Hispaniolan Emerald  HIEM  no  NA
Puerto Rican Emerald  PREM  no  NA
Dusky Hummingbird  DUHU  no  NA
Broad-billed Hummingbird  BBIH  fo mo  SW
Blue-headed Hummingbird  BHHU  no  NA
Violet-headed Hummingbird  VHHU  no  NA
Emerald-chinned Hummingbird  ECHU  no  NA
Antillean Crested Hummingbird  ANCH  no  NA
Scaly-breasted Hummingbird  SBRH  no  NA
Wedge-tailed Sabrewing  WTSA  no  NA
Long-tailed Sabrewing  LTSA  no  NA
Rufous Sabrewing  RUSA  no  NA
Violet Sabrewing  VISA  no  NA
Stripe-tailed Hummingbird  STHM  no  NA
Blue-capped Hummingbird  BCAH  no  NA
White-tailed Hummingbird  WTAH  no  NA
Black-bellied Hummingbird  BLBH  no  NA
White-tailed Emerald  WTEM  no  NA
Coppery-headed Emerald  CHEM  no  NA
Snowcap  SNOC  no  NA
White-vented Plumeleteer  WVPL  no  NA
Bronze-tailed Plumeleteer  BTPL  no  NA
Mexican Woodnymph  MEWO  no  NA
Crowned Woodnymph  CRWO  no  NA
White-bellied Emerald  WBEM  no  NA
Honduran Emerald  HOEM  no  NA
Blue-chested Hummingbird  BCHH  no  NA
Charming Hummingbird  CHHU  no  NA
Mangrove Hummingbird  MANH  no  NA
Azure-crowned Hummingbird  AZCH  no  NA
Berylline Hummingbird  BEHU  fo mo  NA
Blue-tailed Hummingbird  BTLH  no  NA
Steely-vented Hummingbird  SVHU  no  NA
Snowy-bellied Hummingbird  SBEH  no  NA
Rufous-tailed Hummingbird  RTAH  no  NA
Buff-bellied Hummingbird  BBEH  fo ur  SE
Cinnamon Hummingbird  CIHU  fo gr  NA
Violet-crowned Hummingbird  VCHU  fo mo  NA
Green-fronted Hummingbird  GFHU  no  NA
Streamertail  STRM  no  NA
Pirre Hummingbird  PIHU  no  NA
Violet-capped Hummingbird  VCAH  no  NA
Sapphire-throated Hummingbird  SHTH  no  NA
Violet-bellied Hummingbird  VBHU  no  NA
Humboldt's Sapphire  HUSA  no  NA
Blue-throated Goldentail  BTRG  no  NA
White-eared Hummingbird  WEHU  fo  NA
Xantus's Hummingbird  XAHU  fo sm mo  NA
Cuban Trogon  CUTR  no  NA
Hispaniolan Trogon  HITR  no  NA
Lattice-tailed Trogon  LTTR  no  NA
Slaty-tailed Trogon  STTR  no  NA
Black-tailed Trogon  BTAT  no  NA
Black-headed Trogon  BHTR  no  NA
Citreoline Trogon  CITR  no  NA
White-tailed Trogon  WTAT  no  NA
Baird's Trogon  BATR  no  NA
Gartered Trogon  GATR  no  NA
Black-throated Trogon  BTHT  no  NA
Elegant Trogon  ELTR  fo  NA
Mountain Trogon  MOTR  no  NA
Collared Trogon  COTR  no  NA
Orange-bellied Trogon  OBTR  no  NA
Eared Quetzal  EAQU  fo  NA
Golden-headed Quetzal  GHQU  no  NA
Resplendent Quetzal  REQU  no  NA
Eurasian Hoopoe  EHOO  no  NA
Cuban Tody  CUTO  no  NA
Broad-billed Tody  BBTO  no  NA
Narrow-billed Tody  NBTO  no  NA
Jamaican Tody  JATO  no  NA
Puerto Rican Tody  PRTO  no  NA
Tody Motmot  TOMO  no  NA
Blue-throated Motmot  BTMO  no  NA
Russet-crowned Motmot  RCMO  no  NA
Blue-crowned Motmot  BCMO  no  NA
Rufous Motmot  RMOT  no  NA
Keel-billed Motmot  KBMO  no  NA
Broad-billed Motmot  BBMO  no  NA
Turquoise-browed Motmot  TBMO  no  NA
Ringed Kingfisher  RIKI  co fw  SW SE
Belted Kingfisher  BEKI  co fw  NW NE SW SE
Amazon Kingfisher  AMKI  no  NA
Green Kingfisher  GKIN  co fw  SW
Green-and-rufous Kingfisher  GARK  no  NA
American Pygmy Kingfisher  APKI  no  NA
Barred Puffbird  BAPU  no  NA
White-necked Puffbird  WNPU  no  NA
Black-breasted Puffbird  BBPU  no  NA
Pied Puffbird  PIPU  no  NA
White-whiskered Puffbird  WWPU  no  NA
Lanceolated Monklet  LAMO  no  NA
Gray-cheeked Nunlet  GCNU  no  NA
White-fronted Nunbird  WFNU  no  NA
Dusky-backed Jacamar  DBJA  no  NA
Rufous-tailed Jacamar  RTJA  no  NA
Great Jacamar  GJAC  no  NA
Spot-crowned Barbet  SCBA  no  NA
Red-headed Barbet  RHBA  no  NA
Prong-billed Barbet  PBBA  no  NA
Emerald Toucanet  EMTO  no  NA
Collared Aracari  COAR  no  NA
Fiery-billed Aracari  FBAR  no  NA
Yellow-eared Toucanet  YETO  no  NA
Keel-billed Toucan  KBTO  no  NA
Black-mandibled Toucan  BMTO  no  NA
Eurasian Wryneck  EUWR  no  NA
Olivaceous Piculet  OLPI  no  NA
Antillean Piculet  ANPI  no  NA
Lewis's Woodpecker  LEWO  fo gr  NW SW
Guadeloupe Woodpecker  GUWO  no  NA
Puerto Rican Woodpecker  PRWO  no  NA
Red-headed Woodpecker  RHWO  fo ur  NE SE
Acorn Woodpecker  ACWO  fo  NW SW
Golden-naped Woodpecker  GNWO  no  NA
Black-cheeked Woodpecker  BCWO  no  NA
Hispaniolan Woodpecker  HIWO  no  NA
Jamaican Woodpecker  JAWO  no  NA
Golden-cheeked Woodpecker  GCHW  no  NA
Gray-breasted Woodpecker  GBWO  no  NA
Yucatan Woodpecker  YUWO  no  NA
Red-crowned Woodpecker  RCRW  no  NA
Gila Woodpecker  GIWO  de fo  SW
Hoffmann's Woodpecker  HOWO  no  NA
Golden-fronted Woodpecker  GFWO  fo fw ur  SW
Red-bellied Woodpecker  RBWO  fo ur  NE SE
West Indian Woodpecker  WIWO  no  NA
Williamson's Sapsucker  WISA  fo  NW SW
Yellow-bellied Sapsucker  YBSA  fo  NE SE
Red-naped Sapsucker  RNSA  fo  NW SW
Red-breasted Sapsucker  RBSA  fo  NW SW
Cuban Green Woodpecker  CGWO  no  NA
Great Spotted Woodpecker  GSWO  no  NA
Ladder-backed Woodpecker  LBWO  de fo  SW
Nuttall's Woodpecker  NUWO  fo  SW
Downy Woodpecker  DOWO  fo ur  NW NE SW SE
Smoky-brown Woodpecker  SMBW  no  NA
Hairy Woodpecker  HAWO  fo  NW NE SW SE
Arizona Woodpecker  ARWO  fo mo  NA
Strickland's Woodpecker  STCW  no  NA
Red-cockaded Woodpecker  RCWO  fo  SE
White-headed Woodpecker  WHWO  fo mo  NW SW
American Three-toed Woodpecker  ATTW  fo  NW NE SW
Black-backed Woodpecker  BBWO  fo  NW NE
Red-rumped Woodpecker  RRWO  no  NA
Rufous-winged Woodpecker  RWWO  no  NA
Stripe-cheeked Woodpecker  SCHW  no  NA
Golden-green Woodpecker  GGWO  no  NA
Golden-olive Woodpecker  GOWO  no  NA
Gray-crowned Woodpecker  GRCW  no  NA
Spot-breasted Woodpecker  SBWP  no  NA
Northern Flicker  NOFL  fo gr ur  NW NE SW SE
Gilded Flicker  GIFL  de ur  SW
Fernandina's Flicker  FEFL  no  NA
Cinnamon Woodpecker  CIWO  no  NA
Chestnut-colored Woodpecker  CCOW  no  NA
Lineated Woodpecker  LIWO  no  NA
Pileated Woodpecker  PIWO  fo  NW NE SE
Crimson-bellied Woodpecker  CBWO  no  NA
Crimson-crested Woodpecker  CCRW  no  NA
Pale-billed Woodpecker  PBIW  no  NA
Ivory-billed Woodpecker  IBWO  fo  NA
Imperial Woodpecker  IMWO  no  NA
Laughing Falcon  LAFA  no  NA
Barred Forest-Falcon  BAFF  no  NA
Slaty-backed Forest-Falcon  SBFF  no  NA
Collared Forest-Falcon  COFF  no  NA
Red-throated Caracara  RTCA  no  NA
Crested Caracara  CRCA  co de gr  SW SE
Guadalupe Caracara  GUCA  no  NA
Yellow-headed Caracara  YHCA  no  NA
Eurasian Kestrel  EUKE  de gr  NA
American Kestrel  AMKE  de fo gr ur  NW NE SW SE
Red-footed Falcon  RFFA  no  NA
Merlin  MERL  fo  NW NE SW SE
Eurasian Hobby  EHOB  fo gr  NA
Aplomado Falcon  APFA  de gr  NA
Bat Falcon  BAFA  no  NA
Orange-breasted Falcon  OBFA  no  NA
Gyrfalcon  GYRF  co gr mo  NW NE
Peregrine Falcon  PEFA  co gr mo ur  NW NE SW SE
Prairie Falcon  PRFA  gr mo  NW SW
Painted Parakeet  PAIP  no  NA
Sulphur-winged Parakeet  SWPA  no  NA
Monk Parakeet  MOPA  fo ur  NE SE
Carolina Parakeet  CAPA  no  NA
Olive-throated Parakeet  OTPA  no  NA
Orange-fronted Parakeet  OFPA  no  NA
Brown-throated Parakeet  BTPA  no  NA
Nanday Parakeet  NAPA  fo ur  NA
Chestnut-fronted Macaw  CFMA  no  NA
Military Macaw  MIMA  no  NA
Great Green Macaw  GGMA  no  NA
Red-and-green Macaw  RAGM  no  NA
Scarlet Macaw  SCMA  no  NA
Cuban Macaw  CUBM  no  NA
Blue-and-yellow Macaw  BAYM  no  NA
Green Parakeet  GREP  fo  NA
Pacific Parakeet  PACP  no  NA
Crimson-fronted Parakeet  CFPA  no  NA
Cuban Parakeet  CPAK  no  NA
Hispaniolan Parakeet  HPAK  no  NA
Mitred Parakeet  MIPA  fo gr mo  NA
Thick-billed Parrot  TBPA  fo  NA
Maroon-fronted Parrot  MFPA  no  NA
Barred Parakeet  BAPA  no  NA
Green-rumped Parrotlet  GRUP  no  NA
Mexican Parrotlet  MEXP  no  NA
Spectacled Parrotlet  SPPA  no  NA
Orange-chinned Parakeet  OCPA  no  NA
White-winged Parakeet  WWPA  fo ur  NA
Red-fronted Parrotlet  RFPA  no  NA
Blue-fronted Parrotlet  BFPA  no  NA
Brown-hooded Parrot  BHOP  no  NA
Saffron-headed Parrot  SHPA  no  NA
Blue-headed Parrot  BHEP  no  NA
White-crowned Parrot  WCPA  no  NA
White-fronted Parrot  WFPA  no  NA
Yellow-lored Parrot  YLPA  no  NA
Cuban Parrot  CPAT  no  NA
Yellow-billed Parrot  YBPA  no  NA
Hispaniolan Parrot  HPAT  no  NA
Puerto Rican Parrot  PRPA  no  NA
Black-billed Parrot  BBPA  no  NA
Red-crowned Parrot  RCPA  fo ur  NA
Lilac-crowned Parrot  LCPA  fo  NA
Red-lored Parrot  RLPA  fo ur  NA
Mealy Parrot  MEAP  no  NA
Yellow-headed Parrot  YHPA  fo  NA
Yellow-naped Parrot  YNPA  no  NA
Yellow-crowned Parrot  YCPA  no  NA
Red-necked Parrot  RNPA  no  NA
St. Lucia Parrot  SLPA  no  NA
St. Vincent Parrot  SVPA  no  NA
Imperial Parrot  IMPA  no  NA
Rose-ringed Parakeet  RRPA  fo gr sm  NA
Rosy-faced Lovebird  RFLO  de gr  NA
Budgerigar  BUDG  de gr  NA
Sapayoa  SAPA  no  NA
Fasciated Antshrike  FAAN  no  NA
Great Antshrike  GANT  no  NA
Barred Antshrike  BAAN  no  NA
Black Antshrike  BLAN  no  NA
Black-hooded Antshrike  BHOA  no  NA
Black-crowned Antshrike  BCAS  no  NA
Spiny-faced Antshrike  SFAN  no  NA
Russet Antshrike  RUAN  no  NA
Plain Antvireo  PLAN  no  NA
Streak-crowned Antvireo  STCA  no  NA
Spot-crowned Antvireo  SPCA  no  NA
Moustached Antwren  MOAN  no  NA
Pacific Antwren  PAAN  no  NA
White-flanked Antwren  WFLA  no  NA
Slaty Antwren  SLAN  no  NA
Checker-throated Antwren  CTAN  no  NA
Rufous-winged Antwren  RWAN  no  NA
Dot-winged Antwren  DWAN  no  NA
White-fringed Antwren  WFRA  no  NA
Rufous-rumped Antwren  RRAN  no  NA
Dusky Antbird  DUAN  no  NA
Jet Antbird  JEAN  no  NA
Bare-crowned Antbird  BACA  no  NA
White-bellied Antbird  WBEA  no  NA
Chestnut-backed Antbird  CBAN  no  NA
Dull-mantled Antbird  DMAN  no  NA
Zeledon's Antbird  ZEAN  no  NA
Spotted Antbird  SPAN  no  NA
Wing-banded Antbird  WBAA  no  NA
Bicolored Antbird  BIAN  no  NA
Ocellated Antbird  OCAN  no  NA
Black-crowned Antpitta  BCAP  no  NA
Scaled Antpitta  SCAA  no  NA
Streak-chested Antpitta  SCHA  no  NA
Thicket Antpitta  THAN  no  NA
Ochre-breasted Antpitta  OBAN  no  NA
Tacarcuna Tapaculo  TATA  no  NA
Choco Tapaculo  CHOT  no  NA
Silvery-fronted Tapaculo  SFTA  no  NA
Black-faced Antthrush  BFAN  no  NA
Black-headed Antthrush  BHEA  no  NA
Rufous-breasted Antthrush  RBAN  no  NA
Tawny-throated Leaftosser  TTLE  no  NA
Gray-throated Leaftosser  GTLE  no  NA
Scaly-throated Leaftosser  STLE  no  NA
Olivaceous Woodcreeper  OLWO  no  NA
Long-tailed Woodcreeper  LTWO  no  NA
Ruddy Woodcreeper  RUWO  no  NA
Tawny-winged Woodcreeper  TWWO  no  NA
Plain-brown Woodcreeper  PBRW  no  NA
Wedge-billed Woodcreeper  WBWO  no  NA
Northern Barred-Woodcreeper  NOBW  no  NA
Black-banded Woodcreeper  BBNW  no  NA
Strong-billed Woodcreeper  SNBW  no  NA
Cocoa Woodcreeper  COWO  no  NA
Ivory-billed Woodcreeper  IBIW  no  NA
Black-striped Woodcreeper  BSWO  no  NA
Spotted Woodcreeper  SPWO  no  NA
Straight-billed Woodcreeper  SGBW  no  NA
Red-billed Scythebill  RBSC  no  NA
Brown-billed Scythebill  BBSC  no  NA
White-striped Woodcreeper  WSWO  no  NA
Streak-headed Woodcreeper  SHWO  no  NA
Spot-crowned Woodcreeper  SCRW  no  NA
Plain Xenops  PLXE  no  NA
Streaked Xenops  STXE  no  NA
Buffy Tuftedcheek  BUTU  no  NA
Sharp-tailed Streamcreeper  STST  no  NA
Slaty-winged Foliage-gleaner  SWFG  no  NA
Buff-fronted Foliage-gleaner  BFFG  no  NA
Scaly-throated Foliage-gleaner  STFG  no  NA
Lineated Foliage-gleaner  LIFG  no  NA
Ruddy Foliage-gleaner  RUFG  no  NA
Streak-breasted Treehunter  SBTR  no  NA
Buff-throated Foliage-gleaner  BTFG  no  NA
Striped Woodhaunter  STPW  no  NA
Spotted Barbtail  SPBA  no  NA
Beautiful Treerunner  BETR  no  NA
Ruddy Treerunner  RUTR  no  NA
Double-banded Graytail  DBGR  no  NA
Red-faced Spinetail  RFSP  no  NA
Coiba Spinetail  COSP  no  NA
Pale-breasted Spinetail  PBSP  no  NA
Slaty Spinetail  SLSP  no  NA
Rufous-breasted Spinetail  RBSP  no  NA
Yellow-bellied Tyrannulet  YBTY  no  NA
Brown-capped Tyrannulet  BCTY  no  NA
Northern Beardless-Tyrannulet  NOBT  fo  SW
Southern Beardless-Tyrannulet  SOBT  no  NA
Mouse-colored Tyrannulet  MCTY  no  NA
Cocos Flycatcher  COCF  no  NA
Yellow Tyrannulet  YETY  no  NA
Yellow-crowned Tyrannulet  YCTY  no  NA
Forest Elaenia  FOEL  no  NA
Gray Elaenia  GRAE  no  NA
Jamaican Elaenia  JAEL  no  NA
Greenish Elaenia  GREL  no  NA
Caribbean Elaenia  CAEL  no  NA
Yellow-bellied Elaenia  YBEL  no  NA
White-crested Elaenia  WCEL  no  NA
Lesser Elaenia  LEEL  no  NA
Mountain Elaenia  MOEL  no  NA
Greater Antillean Elaenia  GAEL  no  NA
Torrent Tyrannulet  TOTY  no  NA
Olive-striped Flycatcher  OSTF  no  NA
Ochre-bellied Flycatcher  OBFL  no  NA
Sepia-capped Flycatcher  SECF  no  NA
Slaty-capped Flycatcher  SLCF  no  NA
Yellow-green Tyrannulet  YGTY  no  NA
Rufous-browed Tyrannulet  RBTY  no  NA
Rough-legged Tyrannulet  RLTY  no  NA
Sooty-headed Tyrannulet  SHTY  no  NA
Paltry Tyrannulet  PATY  no  NA
Northern Scrub-Flycatcher  NOSF  no  NA
Bronze-olive Pygmy-Tyrant  BOPT  no  NA
Black-capped Pygmy-Tyrant  BPYT  no  NA
Scale-crested Pygmy-Tyrant  SCPT  no  NA
Pale-eyed Pygmy-Tyrant  PEPT  no  NA
Northern Bentbill  NOBE  no  NA
Southern Bentbill  SOBE  no  NA
Slate-headed Tody-Flycatcher  SHTF  no  NA
Common Tody-Flycatcher  COTF  no  NA
Black-headed Tody-Flycatcher  BHTF  no  NA
Brownish Twistwing  BRTW  no  NA
Eye-ringed Flatbill  ERFL  no  NA
Olivaceous Flatbill  OLFL  no  NA
Yellow-olive Flycatcher  YOFL  no  NA
Yellow-margined Flycatcher  YMFL  no  NA
Yellow-breasted Flycatcher  YBRF  no  NA
Stub-tailed Spadebill  STTS  no  NA
White-throated Spadebill  WTRS  no  NA
Golden-crowned Spadebill  GCRS  no  NA
Royal Flycatcher  ROFL  no  NA
Ruddy-tailed Flycatcher  RDTF  no  NA
Tawny-breasted Flycatcher  TBFL  no  NA
Sulphur-rumped Flycatcher  SRFL  no  NA
Black-tailed Flycatcher  BTFL  no  NA
Bran-colored Flycatcher  BCOF  no  NA
Euler's Flycatcher  EUFL  no  NA
Tawny-chested Flycatcher  TCFL  no  NA
Black-billed Flycatcher  BLBF  no  NA
Belted Flycatcher  BEFL  no  NA
Pileated Flycatcher  PILF  no  NA
Tufted Flycatcher  TUFL  no  NA
Olive-sided Flycatcher  OSFL  fo fw  NW NE SW SE
Greater Pewee  GRPE  fo  SW
Dark Pewee  DAPE  no  NA
Ochraceous Pewee  OCPE  no  NA
Western Wood-Pewee  WEWP  fo  NW SW
Eastern Wood-Pewee  EAWP  fo ur  NE SE
Tropical Pewee  TROP  no  NA
Cuban Pewee  CUPE  fo  NA
Jamaican Pewee  JAPE  no  NA
Hispaniolan Pewee  HIPE  no  NA
Lesser Antillean Pewee  LAPE  no  NA
Yellow-bellied Flycatcher  YBFL  fo sm  NE SE
Acadian Flycatcher  ACFL  fo sm  NE SE
Alder Flycatcher  ALFL  fo fw sm  NW NE SE
Willow Flycatcher  WIFL  fo fw  NW NE SW SE
White-throated Flycatcher  WTFL  no  NA
Least Flycatcher  LEFL  fo gr fw sm ur  NW NE SW SE
Hammond's Flycatcher  HAFL  fo  NW SW
Gray Flycatcher  GRFL  fo  NW SW
Dusky Flycatcher  DUFL  fo  NW SW
